"gene-id"	"liver12-rep1"	"liver12-rep2"	"liver11-rep1"	"liver11-rep2"	"forebrain11-rep1"	"forebrain11-rep2"	"forebrain12-rep1"	"forebrain12-rep2"
"ENSMUSG00000061024"	5428	5103	3017	2957	1714	2466	2997	3125
"ENSMUSG00000025911"	99	101	71	73	28	24	27	32
"ENSMUSG00000079671"	59	35	24	28	15	24	37	46
"ENSMUSG00000081441"	1	0	0	0	0	1	2	0
"ENSMUSG00000067879"	5	2	12	14	110	169	528	544
"ENSMUSG00000099827"	0	0	0	0	0	0	0	0
"ENSMUSG00000025912"	98	84	41	45	191	392	553	596
"ENSMUSG00000045210"	4294	4087	2462	2436	1703	2789	4919	4859
"ENSMUSG00000097893"	215	182	140	87	6	9	6	15
"ENSMUSG00000025915"	7520	6970	2311	2651	308	463	585	596
"ENSMUSG00000046334"	12	10	4	12	2	5	9	8
"ENSMUSG00000088916"	10	5	2	1	0	0	2	1
"ENSMUSG00000046101"	260	169	187	161	121	199	198	251
"ENSMUSG00000098234"	2056	1903	1684	1396	655	1062	1392	1699
"ENSMUSG00000093178"	90	90	69	46	39	45	81	86
"ENSMUSG00000099032"	122	104	65	56	0	1	9	7
"ENSMUSG00000104025"	0	2	0	0	0	0	0	0
"ENSMUSG00000025916"	3	5	2	2	2	16	7	26
"ENSMUSG00000087199"	1	0	0	0	0	0	0	0
"ENSMUSG00000095780"	0	0	0	0	0	2	0	0
"ENSMUSG00000025917"	8219	7470	5312	4945	3305	4570	6373	6984
"ENSMUSG00000056763"	1987	1849	1445	1193	1630	2853	4031	4735
"ENSMUSG00000102356"	2	5	1	6	3	11	10	11
"ENSMUSG00000067851"	2883	2734	2012	1925	1414	2091	3183	3487
"ENSMUSG00000088153"	1	0	4	3	0	7	4	11
"ENSMUSG00000102556"	5	3	10	12	7	22	8	11
"ENSMUSG00000042501"	1	3	2	1	0	0	2	7
"ENSMUSG00000103810"	0	0	3	0	0	1	0	0
"ENSMUSG00000083422"	0	1	23	16	0	0	1	2
"ENSMUSG00000094979"	0	0	0	0	0	0	0	0
"ENSMUSG00000081417"	0	0	0	0	0	0	0	0
"ENSMUSG00000103448"	0	0	0	0	0	0	0	0
"ENSMUSG00000100212"	0	0	1	0	0	0	0	0
"ENSMUSG00000100648"	2	64	0	1	1	0	0	3
"ENSMUSG00000088585"	0	0	0	0	0	0	0	0
"ENSMUSG00000048960"	386	340	320	374	498	954	609	819
"ENSMUSG00000077318"	0	0	0	0	0	1	2	0
"ENSMUSG00000101827"	1	0	0	1	2	2	3	6
"ENSMUSG00000103494"	0	0	0	0	0	0	0	0
"ENSMUSG00000057715"	1	10	22	10	56	72	130	170
"ENSMUSG00000103825"	0	13	7	0	1	8	6	14
"ENSMUSG00000099845"	0	0	1	0	1	0	0	0
"ENSMUSG00000103561"	0	0	0	0	2	3	0	4
"ENSMUSG00000101610"	2	2	2	1	0	0	4	1
"ENSMUSG00000093864"	0	0	0	0	0	0	0	0
"ENSMUSG00000098555"	0	0	0	0	0	0	0	0
"ENSMUSG00000097628"	13	3	13	14	10	13	7	7
"ENSMUSG00000098163"	0	0	0	0	0	0	0	0
"ENSMUSG00000097171"	0	0	0	0	0	0	0	0
"ENSMUSG00000101314"	0	0	0	0	0	0	0	0
"ENSMUSG00000016918"	1160	1410	1134	1262	3374	4753	4836	5675
"ENSMUSG00000025938"	5	17	48	31	1063	1500	3705	3873
"ENSMUSG00000104518"	0	0	0	0	0	0	0	0
"ENSMUSG00000069620"	0	0	0	0	0	0	0	0
"ENSMUSG00000099498"	0	0	0	0	0	0	0	0
"ENSMUSG00000042414"	0	3	0	0	0	0	0	1
"ENSMUSG00000005886"	2720	2558	2403	2387	2266	3244	4829	4404
"ENSMUSG00000103506"	36	18	29	12	11	24	46	97
"ENSMUSG00000103495"	22	15	10	7	20	12	44	67
"ENSMUSG00000099183"	0	1	0	0	0	2	0	0
"ENSMUSG00000102639"	5	9	2	2	0	4	4	7
"ENSMUSG00000104170"	29	23	31	25	31	46	43	55
"ENSMUSG00000087782"	0	2	0	0	0	1	0	1
"ENSMUSG00000103085"	91	117	141	101	89	200	181	207
"ENSMUSG00000102664"	100	86	92	52	56	146	116	161
"ENSMUSG00000101476"	2	2	0	0	0	0	1	0
"ENSMUSG00000101171"	0	0	1	0	0	0	0	0
"ENSMUSG00000025935"	17950	17101	10014	10381	4209	6297	6879	7051
"ENSMUSG00000025937"	3502	3237	2045	2094	384	700	683	696
"ENSMUSG00000102982"	149	132	94	69	16	26	6	20
"ENSMUSG00000067813"	0	0	0	2	0	0	0	1
"ENSMUSG00000077368"	0	0	0	0	0	0	0	0
"ENSMUSG00000097711"	29	27	14	15	12	27	25	9
"ENSMUSG00000102166"	0	0	0	0	0	2	0	0
"ENSMUSG00000089358"	0	0	0	0	0	0	0	0
"ENSMUSG00000104209"	0	0	0	0	0	0	0	0
"ENSMUSG00000025932"	58	34	87	143	615	847	1182	1328
"ENSMUSG00000095853"	0	0	0	0	0	0	1	2
"ENSMUSG00000102588"	0	3	0	0	0	1	2	2
"ENSMUSG00000054493"	1	2	1	1	0	0	0	3
"ENSMUSG00000025930"	26	68	99	83	2	9	3	29
"ENSMUSG00000103492"	0	0	11	0	0	0	0	3
"ENSMUSG00000081201"	6	1	1	3	0	1	2	4
"ENSMUSG00000082193"	145	132	109	117	36	82	118	86
"ENSMUSG00000032769"	6	8	2	3	16	31	27	46
"ENSMUSG00000088159"	0	0	0	0	0	0	0	0
"ENSMUSG00000073737"	15	5	11	5	6	5	14	10
"ENSMUSG00000092083"	52	66	110	100	141	221	608	769
"ENSMUSG00000102937"	4	2	13	16	8	24	40	59
"ENSMUSG00000104149"	8	3	11	3	2	6	10	22
"ENSMUSG00000088829"	0	0	0	0	0	0	0	3
"ENSMUSG00000077377"	0	0	0	0	0	0	2	0
"ENSMUSG00000101652"	0	0	1	0	0	2	0	1
"ENSMUSG00000100814"	0	0	0	0	0	0	0	0
"ENSMUSG00000025925"	2605	2499	1660	1556	1236	2068	2326	2542
"ENSMUSG00000104379"	3	2	0	2	3	4	8	19
"ENSMUSG00000032719"	2	1	5	10	1	7	1	21
"ENSMUSG00000088943"	0	0	0	0	0	0	0	0
"ENSMUSG00000100652"	6	1	3	1	6	1	2	0
"ENSMUSG00000067795"	4	1	5	2	31	20	101	104
"ENSMUSG00000043716"	42819	38206	18076	16268	12481	19566	15595	16561
"ENSMUSG00000025921"	751	668	514	466	285	390	550	558
"ENSMUSG00000104165"	0	0	0	0	0	0	1	1
"ENSMUSG00000100868"	0	0	0	0	1	0	4	2
"ENSMUSG00000025920"	601	559	544	561	1275	1973	3979	3627
"ENSMUSG00000089982"	0	0	0	2	3	1	3	6
"ENSMUSG00000025939"	1449	1298	1198	1067	1159	1923	3124	2918
"ENSMUSG00000102457"	20	7	6	9	10	15	28	53
"ENSMUSG00000079658"	8311	7816	5537	4978	3204	5277	8262	8261
"ENSMUSG00000097744"	0	0	0	4	1	2	0	0
"ENSMUSG00000100959"	0	0	2	0	0	0	0	0
"ENSMUSG00000025940"	4340	3725	2793	2778	1493	2166	3032	3208
"ENSMUSG00000025779"	148	156	73	81	34	79	75	78
"ENSMUSG00000100093"	0	0	0	0	0	0	0	0
"ENSMUSG00000091020"	6	4	3	5	4	2	6	1
"ENSMUSG00000101640"	0	2	1	0	2	3	4	1
"ENSMUSG00000104133"	0	0	0	0	0	0	0	0
"ENSMUSG00000042686"	14	20	38	36	74	102	191	393
"ENSMUSG00000100110"	0	0	0	0	0	0	0	0
"ENSMUSG00000025777"	16	4	34	38	658	1011	2923	2713
"ENSMUSG00000099899"	0	0	0	0	0	1	0	0
"ENSMUSG00000100272"	0	0	0	0	0	0	0	0
"ENSMUSG00000100398"	0	0	0	2	0	1	0	0
"ENSMUSG00000101589"	14	8	13	11	3	12	22	30
"ENSMUSG00000102048"	2	0	4	0	1	4	3	2
"ENSMUSG00000089534"	0	0	0	0	0	0	0	0
"ENSMUSG00000067780"	2	4	1	0	1	2	2	2
"ENSMUSG00000100053"	4	1	6	1	0	5	3	17
"ENSMUSG00000085125"	18	14	32	6	59	101	116	156
"ENSMUSG00000025776"	109	107	177	167	443	606	691	941
"ENSMUSG00000099895"	0	2	2	0	0	7	4	15
"ENSMUSG00000100554"	4	0	2	2	0	0	4	4
"ENSMUSG00000099473"	0	0	0	0	0	0	2	1
"ENSMUSG00000099591"	0	0	2	0	2	1	6	5
"ENSMUSG00000109887"	0	0	0	0	4	6	48	59
"ENSMUSG00000102001"	0	0	0	0	0	0	0	2
"ENSMUSG00000101717"	0	0	0	0	1	0	0	0
"ENSMUSG00000025774"	0	0	0	0	0	0	0	0
"ENSMUSG00000070977"	0	0	0	0	0	1	0	0
"ENSMUSG00000073735"	0	0	0	0	0	0	0	0
"ENSMUSG00000067773"	0	0	0	0	0	0	0	5
"ENSMUSG00000101685"	8	2	3	3	0	2	5	1
"ENSMUSG00000101306"	0	0	0	0	0	0	0	0
"ENSMUSG00000088800"	0	0	0	0	0	0	0	0
"ENSMUSG00000101644"	0	0	0	0	0	0	0	0
"ENSMUSG00000099433"	0	0	0	0	0	0	0	0
"ENSMUSG00000089787"	0	0	0	0	0	0	2	1
"ENSMUSG00000042596"	0	0	0	0	7	19	48	154
"ENSMUSG00000100720"	2	2	4	5	3	12	9	4
"ENSMUSG00000025927"	271	142	84	52	726	1217	950	1693
"ENSMUSG00000100538"	0	0	0	0	0	0	0	0
"ENSMUSG00000101117"	0	0	0	0	0	0	0	0
"ENSMUSG00000100204"	23	42	19	23	11	24	23	20
"ENSMUSG00000084668"	0	0	0	0	0	0	0	0
"ENSMUSG00000102597"	0	0	0	0	0	0	0	0
"ENSMUSG00000043760"	87	25	75	50	1	3	0	6
"ENSMUSG00000104095"	0	0	0	0	0	0	0	0
"ENSMUSG00000089914"	0	0	0	0	0	0	2	0
"ENSMUSG00000090142"	2	2	1	2	1	0	0	0
"ENSMUSG00000070175"	0	0	0	0	0	0	0	0
"ENSMUSG00000065559"	0	0	0	0	0	0	0	0
"ENSMUSG00000099906"	1	10	3	4	0	0	0	3
"ENSMUSG00000065480"	0	0	0	0	0	0	0	0
"ENSMUSG00000025929"	0	0	0	0	0	0	0	0
"ENSMUSG00000041872"	6	1	0	2	8	9	3	10
"ENSMUSG00000041859"	19930	18294	14494	15277	8497	11214	11143	10991
"ENSMUSG00000099714"	0	0	2	0	0	2	0	3
"ENSMUSG00000102121"	0	0	0	0	0	0	0	0
"ENSMUSG00000088858"	0	0	0	0	0	0	0	0
"ENSMUSG00000097934"	3	3	13	3	13	18	21	52
"ENSMUSG00000025931"	149	144	152	150	515	920	2047	1703
"ENSMUSG00000077314"	0	0	0	0	0	1	0	0
"ENSMUSG00000100929"	0	0	0	0	0	0	0	0
"ENSMUSG00000041809"	45	47	29	38	64	69	107	139
"ENSMUSG00000041779"	452	440	572	514	588	783	670	777
"ENSMUSG00000099971"	0	0	0	0	0	0	2	3
"ENSMUSG00000100819"	0	0	0	3	8	1	6	11
"ENSMUSG00000025933"	223	232	173	181	176	269	414	410
"ENSMUSG00000102633"	0	4	5	1	2	1	0	1
"ENSMUSG00000025934"	288	274	17	31	4	6	7	8
"ENSMUSG00000099343"	0	0	0	0	1	2	0	0
"ENSMUSG00000096375"	0	4	1	1	0	0	0	0
"ENSMUSG00000025936"	0	5	2	0	0	0	0	0
"ENSMUSG00000093963"	0	0	0	0	0	0	0	0
"ENSMUSG00000067750"	0	1	0	0	0	0	0	0
"ENSMUSG00000086194"	0	0	0	0	0	0	0	0
"ENSMUSG00000094436"	0	0	1	0	0	0	0	0
"ENSMUSG00000041722"	0	0	0	0	0	0	0	0
"ENSMUSG00000085507"	0	0	0	0	0	0	0	0
"ENSMUSG00000094926"	0	0	0	0	0	0	0	0
"ENSMUSG00000085079"	0	0	0	0	0	0	0	0
"ENSMUSG00000085679"	0	0	4	0	0	0	0	0
"ENSMUSG00000028033"	160	155	291	206	34	54	57	119
"ENSMUSG00000104138"	3	2	1	6	0	2	8	4
"ENSMUSG00000082935"	65	47	62	53	22	24	27	60
"ENSMUSG00000103748"	12	8	20	14	1	3	4	13
"ENSMUSG00000097109"	75	73	74	40	15	11	54	76
"ENSMUSG00000099692"	0	0	0	0	0	0	0	0
"ENSMUSG00000100418"	0	0	0	0	0	0	0	0
"ENSMUSG00000041670"	26	18	141	115	129	168	314	496
"ENSMUSG00000097642"	0	0	0	0	1	0	0	0
"ENSMUSG00000101468"	0	0	0	0	0	0	0	0
"ENSMUSG00000101227"	0	0	0	0	0	0	3	3
"ENSMUSG00000073730"	0	0	0	0	0	0	1	2
"ENSMUSG00000089553"	0	0	0	0	0	0	0	0
"ENSMUSG00000102766"	36	41	3	4	4	8	27	15
"ENSMUSG00000065405"	0	2	0	0	1	2	1	2
"ENSMUSG00000097970"	4	2	0	0	0	1	3	3
"ENSMUSG00000065567"	0	0	0	0	0	0	0	0
"ENSMUSG00000100775"	17	13	6	4	4	1	19	17
"ENSMUSG00000101226"	0	0	0	0	0	0	0	0
"ENSMUSG00000026158"	2546	2631	1430	1373	562	804	821	958
"ENSMUSG00000097920"	4	7	4	3	2	3	5	4
"ENSMUSG00000099503"	0	0	0	0	0	0	0	2
"ENSMUSG00000026156"	22	45	46	13	45	55	192	185
"ENSMUSG00000026155"	2725	2720	1383	1285	970	1330	1779	2254
"ENSMUSG00000026154"	1190	987	754	770	509	819	1495	1610
"ENSMUSG00000102495"	0	4	0	0	1	2	1	1
"ENSMUSG00000026153"	1254	1096	1183	949	1711	3264	4476	4455
"ENSMUSG00000102398"	5	0	0	4	8	9	11	7
"ENSMUSG00000097670"	0	0	0	0	0	0	0	0
"ENSMUSG00000026147"	102	66	182	191	416	709	717	1167
"ENSMUSG00000026141"	4	8	28	20	13	33	62	112
"ENSMUSG00000077463"	0	0	0	0	0	0	0	0
"ENSMUSG00000099997"	37	41	19	13	6	14	15	19
"ENSMUSG00000100131"	0	2	0	0	0	3	0	2
"ENSMUSG00000067736"	4	6	7	4	4	6	7	6
"ENSMUSG00000101939"	1354	1209	985	685	386	633	782	958
"ENSMUSG00000101111"	10	17	9	7	9	15	12	4
"ENSMUSG00000100862"	10	8	0	0	4	3	4	6
"ENSMUSG00000102070"	24	20	8	3	2	26	8	10
"ENSMUSG00000101249"	8	5	3	1	0	4	4	6
"ENSMUSG00000073725"	1548	1443	1136	1158	914	1394	2087	2121
"ENSMUSG00000100808"	0	0	0	0	0	0	0	0
"ENSMUSG00000100483"	0	0	0	0	0	0	0	0
"ENSMUSG00000100450"	0	0	0	0	0	0	0	0
"ENSMUSG00000099392"	0	0	0	0	0	0	0	0
"ENSMUSG00000033569"	16	16	100	91	538	754	1827	2170
"ENSMUSG00000080849"	0	2	0	0	0	1	1	1
"ENSMUSG00000104257"	0	0	1	0	7	8	6	18
"ENSMUSG00000096866"	0	0	0	0	0	0	0	0
"ENSMUSG00000102296"	0	0	0	0	0	3	1	10
"ENSMUSG00000103209"	0	0	0	1	18	37	22	43
"ENSMUSG00000104027"	1	0	0	1	19	21	41	43
"ENSMUSG00000102407"	0	0	0	0	13	18	17	13
"ENSMUSG00000103214"	0	3	2	0	22	30	45	29
"ENSMUSG00000104100"	0	0	1	0	25	56	43	72
"ENSMUSG00000084740"	0	0	0	0	2	3	0	1
"ENSMUSG00000103889"	0	0	1	0	3	10	22	33
"ENSMUSG00000101301"	0	0	1	0	1	10	7	28
"ENSMUSG00000104221"	0	0	0	1	13	37	44	43
"ENSMUSG00000102250"	2	0	9	2	45	91	120	174
"ENSMUSG00000102317"	2	0	1	0	14	22	37	32
"ENSMUSG00000103563"	5	1	0	0	16	30	61	97
"ENSMUSG00000102465"	0	0	3	4	45	110	108	160
"ENSMUSG00000102659"	0	1	0	0	6	21	37	75
"ENSMUSG00000103924"	2	5	2	1	47	135	76	105
"ENSMUSG00000104132"	0	2	0	0	11	27	44	69
"ENSMUSG00000102747"	1	3	6	3	97	175	268	540
"ENSMUSG00000102386"	2	2	0	1	45	53	194	197
"ENSMUSG00000103004"	0	2	0	0	4	4	9	14
"ENSMUSG00000104516"	2	0	0	0	3	7	39	33
"ENSMUSG00000101618"	0	0	0	0	0	0	0	0
"ENSMUSG00000099458"	0	0	0	0	0	0	0	0
"ENSMUSG00000088111"	0	0	0	0	0	0	0	0
"ENSMUSG00000073722"	0	0	0	0	0	0	0	0
"ENSMUSG00000095256"	0	0	0	0	0	0	0	0
"ENSMUSG00000100310"	0	0	0	0	0	0	0	0
"ENSMUSG00000101514"	1	0	0	0	0	0	0	0
"ENSMUSG00000101033"	0	0	0	0	0	0	0	0
"ENSMUSG00000101372"	0	2	1	7	1	2	4	12
"ENSMUSG00000103241"	0	0	0	0	0	0	0	0
"ENSMUSG00000086240"	159	152	119	102	53	146	177	160
"ENSMUSG00000048411"	0	0	0	0	0	0	0	0
"ENSMUSG00000081557"	4	0	4	2	0	1	5	1
"ENSMUSG00000058590"	0	0	0	0	0	0	0	0
"ENSMUSG00000101235"	0	0	0	0	0	0	0	0
"ENSMUSG00000064433"	0	0	0	0	0	0	0	0
"ENSMUSG00000080625"	0	0	0	0	0	0	0	0
"ENSMUSG00000080391"	0	0	0	0	0	0	0	0
"ENSMUSG00000099257"	0	0	0	0	0	0	0	0
"ENSMUSG00000099492"	25	29	29	28	7	18	20	12
"ENSMUSG00000101726"	0	2	2	0	0	1	1	2
"ENSMUSG00000096829"	0	0	0	0	0	0	0	0
"ENSMUSG00000098883"	0	0	0	0	0	0	0	0
"ENSMUSG00000053185"	0	0	0	0	0	0	0	0
"ENSMUSG00000100261"	0	4	1	1	2	0	2	3
"ENSMUSG00000101180"	0	0	0	0	0	0	0	0
"ENSMUSG00000048874"	3518	3443	2158	1716	1827	2651	4829	4821
"ENSMUSG00000103783"	22	33	20	17	15	53	69	68
"ENSMUSG00000104315"	105	71	88	79	98	177	129	265
"ENSMUSG00000026064"	7957	7177	2267	2333	7168	10534	7037	6855
"ENSMUSG00000086151"	0	0	0	0	0	0	2	0
"ENSMUSG00000086726"	0	0	1	0	0	0	0	0
