"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000027763",14419.5993323113,3.23807575351976,0.107612437768424,30.0901626305308,6.51690038981646e-199,5.93428949496687e-196
"ENSMUSG00000027168",2634.17773591556,-8.59515172550276,0.285888221166114,-30.0647284118382,1.40165525295357e-198,1.23517478065115e-195
"ENSMUSG00000020811",1581.08655455699,-5.56521570729126,0.186852616606649,-29.783985947635,6.29841065593379e-195,5.37687444683747e-192
"ENSMUSG00000073002",1317.13054470109,4.66155992596667,0.15719078968447,29.6554266017992,2.88691694004803e-193,2.38984233237067e-190
"ENSMUSG00000031659",3026.47346391825,4.42287502690464,0.14948128317754,29.5881526629093,2.12260573131319e-192,1.70545127552982e-189
"ENSMUSG00000037337",907.30349676959,2.75390266178479,0.0932901271704222,29.5197653311584,1.6055790536093e-191,1.25317738818568e-188
"ENSMUSG00000005836",802.527555490302,7.19973677595455,0.245300998698435,29.3506215390736,2.34627194869923e-189,1.78042936373793e-186
"ENSMUSG00000021281",2919.68944150907,6.16205453095783,0.210540703157652,29.2677588634427,2.66899271190326e-188,1.97058224064252e-185
"ENSMUSG00000071551",836.970546101242,6.88306896476636,0.242991775973142,28.3263453555199,1.63759660356735e-176,1.17725957937507e-173
"ENSMUSG00000003355",1074.28619475994,4.41885191579155,0.15614617300477,28.2994570456527,3.50946313005298e-176,2.45824394325096e-173
"ENSMUSG00000019874",6088.31047705221,-8.15591604172826,0.288329025388721,-28.2868366468918,5.01773590858872e-176,3.42686273877067e-173
"ENSMUSG00000026547",5135.73732327387,3.11052841690198,0.110557069486798,28.135047639567,3.6520425442033e-174,2.43332922494014e-171
"ENSMUSG00000022876",622.049357429719,4.60425580925538,0.163719442818038,28.1228406962798,5.15046968844914e-174,3.35001264164413e-171
"ENSMUSG00000023043",2083.71297166623,3.60076934385885,0.128240850351521,28.0781773825484,1.80968008907966e-173,1.14969396915066e-170
"ENSMUSG00000033948",682.519376190591,-5.09395531887825,0.182720238979219,-27.8784405457,4.87148941178648e-171,3.02453063070871e-168
"ENSMUSG00000026288",1403.82370382973,3.4680774315695,0.125412754277195,27.6533072856701,2.54658583517296e-168,1.545947374339e-165
"ENSMUSG00000026715",3197.9523878543,8.31936295629546,0.30302330224992,27.4545320261675,6.13381015301578e-166,3.6426831686975e-163
"ENSMUSG00000053062",1998.75574890044,-4.82064475097486,0.176902748153992,-27.2502536070187,1.65039226367079e-163,9.59264167211884e-161
"ENSMUSG00000002985",24285.4698879678,4.05711817476708,0.14929617045723,27.1749647853784,1.28401572316576e-162,7.30765448446711e-160
"ENSMUSG00000051735",538.16983016889,3.89104434446086,0.143212953889056,27.1696396086849,1.48421381095729e-162,8.27464344647574e-160
"ENSMUSG00000004446",1586.46124754202,2.10076926180457,0.0774968969095778,27.1077855447001,7.97090399747424e-162,4.35498310806002e-159
